VendorNumber,VendorName,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,total_Quantity,total_spend,unit_cost_incl_freight,avg_payment_days,margin_percent,risk_score,risk_band,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
90026,SILVER MOUNTAIN CIDERS,4.54,11.39,730.0,17,77.17999999999999,52.0,381.48000000000013,7.3362,5.17,0.36,17,77.53999999999999,4.5612,30.5,0.0,0.987,HIGH,304.3000000000001,79.76827094474153,3.0588235294117645,4.942731277533042
90033,FANTASY FINE WINES CORP,5.36,7.99,750.0,24,128.64,41.0,327.5900000000001,7.99,4.51,0.61,24,129.25,5.3854,29.0,32.92,0.974,HIGH,198.9500000000001,60.73140205744988,1.7083333333333333,2.5465640547263693
2396,BLACK PRINCE DISTILLERY INC,7.4547,7.39,1275.0,807,5971.939999999998,1115.0,11818.849999999911,10.5999,986.13,30.98,807,6002.920000000002,7.4386,33.34,36.15,0.859,HIGH,5846.909999999913,49.471056828709706,1.3816604708798017,1.9790637548267256
90052,HAUNTING WHISPER VYDS,8.0698,11.99,750.0,669,5388.579999999996,611.0,7325.889999999934,11.99,67.62,27.61,669,5416.1900000000005,8.0959,33.1,32.7,0.854,HIGH,1937.3099999999376,26.444705011950155,0.9133034379671151,1.3595214323625036
90017,THE IMPORTED GRAPE LLC,7.2305,18.6775,743.75,2280,16093.77,1736.0,22179.74000000004,12.7763,194.0,80.03,2280,16173.799999999997,7.0938,34.4,43.9,0.836,HIGH,6085.970000000041,27.43932074947691,0.7614035087719299,1.3781568892807614
5083,LOYAL DOG WINERY,9.67,14.99,750.0,240,2320.7999999999997,74.0,1111.2600000000004,15.017,8.18,10.68,240,2331.4800000000005,9.7145,28.67,35.49,0.831,HIGH,-1209.5399999999993,-108.84401490200301,0.30833333333333335,0.4788262668045504
9099,TRUETT HURST,9.86,14.99,750.0,24,236.64,1.0,14.99,14.99,0.11,1.25,24,237.89,9.9121,31.0,34.22,0.823,HIGH,-221.64999999999998,-1478.6524349566375,0.041666666666666664,0.0633451656524679
8920,TAKARA SAKE USA INC,7.1948,32.0233,6350.0,9066,45289.340000000506,8973.0,64082.970000002686,7.1418,5327.7,232.99,9066,45522.33000000001,5.0212,34.67,28.99,0.799,HIGH,18793.63000000218,29.327027133732088,0.9897418927862343,1.414968069748907
1439,CAPSTONE INTERNATIONAL,13.66,25.99,1250.0,4,54.64,13.0,246.86999999999998,18.99,23.89,0.27,4,54.910000000000004,13.7275,31.0,49.39,0.753,HIGH,192.22999999999996,77.86689350670393,3.25,4.51811859443631
90027,POVERTY LANE ORCHARDS,7.7135,12.0525,750.0,5872,45269.00999999956,6341.0,73642.09000000099,11.6136,704.22,229.88,5872,45498.890000000014,7.7484,34.57,33.6,0.747,HIGH,28373.080000001428,38.528347036322636,1.0798705722070845,1.6267660812551832
6359,OLE SMOKY DISTILLERY LLC,9.153,16.1011,633.33,110162,387622.69000000844,106890.0,498686.5999999114,4.6654,18230.13,1922.0,110162,389544.6900000001,3.5361,34.26,25.13,0.745,HIGH,111063.90999990294,22.271284209345644,0.97029828797589,1.2865258223142213
2876,CENTEUR IMPORTS LLC,8.3559,11.8082,750.0,771,6237.079999999997,619.0,7474.809999999972,12.0756,69.04,31.5,771,6268.580000000002,8.1305,35.03,32.65,0.745,HIGH,1237.729999999975,16.558681759134743,0.8028534370946823,1.1984470296997916
1003,BRONCO WINE COMPANY,5.2271,6.815,1125.0,433,2071.9000000000005,334.0,2400.660000000001,7.1876,61.32,10.53,433,2082.4300000000003,4.8093,36.12,32.53,0.732,HIGH,328.7600000000007,13.69456732731834,0.7713625866050808,1.1586756117573245
90037,THE PIERPONT GROUP LLC,11.3637,13.5285,750.0,580,5713.190000000001,1079.0,17937.209999999945,16.6239,616.42,27.98,580,5741.170000000001,9.8986,34.8,37.11,0.719,HIGH,12224.019999999942,68.14894847080444,1.860344827586207,3.139613770940567
90051,FULCHINO VINEYARD INC,11.7769,17.49,750.0,949,11147.770000000004,836.0,14441.639999999885,17.2747,92.45,54.91,949,11202.680000000002,11.8047,33.88,32.24,0.716,HIGH,3293.8699999998807,22.808143673432568,0.880927291886196,1.295473444464667
90058,ZORVINO VINEYARDS,8.1761,12.1567,750.0,10550,86122.71000000097,10141.0,124189.59000001395,12.2463,1121.54,448.68,10550,86571.39000000004,8.2058,34.29,32.97,0.711,HIGH,38066.880000012985,30.65223099617988,0.9612322274881516,1.4420074565699634
4950,LATITUDE BEVERAGE COMPANY,5.9684,12.8567,762.44,53090,316446.75999999454,49789.0,471551.10999988945,9.471,5546.24,1610.0,53090,318056.75999999995,5.9909,34.64,36.49,0.706,HIGH,155104.3499998949,32.892373002776154,0.937822565454888,1.4901435868703399
7255,PSP WINES,7.5697,12.7713,773.44,16493,128895.69000000143,14594.0,171646.5599999974,11.7614,1625.2,648.71,16493,129544.40000000001,7.8545,34.54,33.93,0.695,HIGH,42750.86999999598,24.906336602374452,0.8848602437397683,1.3316702831568341
8892,TRINCHERO FAMILY ESTATES,6.2328,12.4397,836.56,352526,2252211.3100002543,346725.0,3467869.8100055354,10.0018,44031.4,11595.97,352526,2263807.28,6.4217,33.95,37.57,0.688,HIGH,1215658.500005281,35.054905939601596,0.9835444761521136,1.5397621859936153
8735,SURVILLE ENTERPRISES CORP,8.7899,13.5809,724.41,6504,51325.77000000037,6515.0,80444.85000000207,12.3476,1400.52,263.32,6504,51589.09000000001,7.9319,35.06,40.49,0.682,HIGH,29119.080000001704,36.197568893472926,1.0016912669126692,1.5673383955077829
4380,CHARLES JACQUIN ET CIE INC,8.5101,11.6767,886.67,43947,329637.620000006,43474.0,450266.1599998446,10.3571,34505.58,1675.39,43947,331313.0099999999,7.5389,34.35,26.6,0.677,HIGH,120628.53999983863,26.790496536510815,0.9892370355200583,1.365942879941423
90053,INCREDIBREW INC,8.807,13.24,750.0,2786,24525.83999999998,2698.0,35508.52000000072,13.1611,299.12,124.44,2786,24650.279999999988,8.8479,35.25,33.14,0.669,MEDIUM,10982.680000000739,30.92970363169323,0.968413496051687,1.4478003607623937
6215,MOONLIGHT MEADERY,8.9638,13.8186,375.0,7967,71357.5900000003,7123.0,95208.77000000517,13.3664,417.02,365.61,7967,71723.2,9.0025,34.91,32.8,0.654,MEDIUM,23851.180000004868,25.051452718067434,0.8940630099159032,1.3342486762796328
5612,MILTONS DISTRIBUTING CO,6.8148,9.1761,805.56,267,1824.18,261.0,2661.6900000000005,10.198,30.72,9.46,267,1833.64,6.8676,36.7,33.78,0.654,MEDIUM,837.5100000000004,31.465347204219885,0.9775280898876404,1.4591158767226922
4901,LAUREATE IMPORTS CO,4.86,5.74,1125.0,29,140.94,0.0,0.0,0.0,0.0,0.72,29,141.66,4.8848,41.0,35.11,0.648,MEDIUM,-140.94,-inf,0.0,0.0
2496,DUGGANS DISTILLED PRODUCTS,14.7602,15.69,1010.0,18814,184296.49999999715,15738.0,202338.61999999796,12.8567,16671.23,939.27,18814,185235.77,9.8456,34.13,24.26,0.643,MEDIUM,18042.12000000081,8.916795024104145,0.8365047305198257,1.0978972470991097
200,AMERICAN SPIRITS EXCHANGE,9.18,12.3233,750.0,132,1205.16,103.0,1719.9700000000003,16.6987,11.53,6.19,132,1211.35,9.1769,36.0,34.19,0.635,MEDIUM,514.8100000000002,29.931336011674624,0.7803030303030303,1.4271714959009594
